,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
371,Altamont,1,US,1586642862,47,42.21,-121.74,61.0,21.92
372,Kununurra,75,AU,1586642863,83,-15.77,128.73,77.0,2.24
373,Yumen,100,CN,1586642864,23,40.28,97.2,45.43,5.01
374,Vicksburg,1,US,1586642593,36,32.35,-90.88,77.0,6.93
375,Hobyo,0,SO,1586642765,70,5.35,48.53,83.07,14.12
376,Nelson Bay,4,AU,1586642868,58,-32.72,152.15,57.99,10.29
377,Hilton Head,1,US,1586642755,35,32.22,-80.75,73.99,6.93
378,Fallon,40,US,1586642637,26,39.47,-118.78,71.6,10.29
379,Alihe,0,CN,1586642872,60,50.57,123.72,38.34,3.4
380,Oktyabr'skiy,100,RU,1586642873,81,54.48,53.47,40.82,7.61
381,Todos Santos,75,MX,1586642875,47,23.45,-110.22,78.01,17.22
382,General Pico,28,AR,1586642876,41,-35.66,-63.76,74.35,9.31
383,Bowen,99,AU,1586642877,94,-20.02,148.23,75.0,2.24
384,Koumac,18,NC,1586642879,70,-20.57,164.28,77.72,7.72
385,Kudahuvadhoo,8,MV,1586642880,63,2.67,72.89,84.69,4.92
386,Pangody,100,RU,1586642881,95,65.85,74.49,23.79,11.03
387,Osmeña,3,PH,1586642882,77,10.52,119.93,80.31,5.53
388,Lorengau,58,PG,1586642665,75,-2.02,147.27,82.27,1.25
389,Bantul,92,ID,1586642885,78,-7.89,110.33,76.91,1.92
390,Chicontepec,36,MX,1586642886,44,20.97,-98.17,90.81,8.41
391,Inhambane,64,MZ,1586642887,80,-23.86,35.38,73.53,3.89
392,Aykhal,89,RU,1586642889,73,66.0,111.5,24.8,6.71
393,Iranshahr,100,IR,1586642890,30,27.2,60.68,80.6,4.7
394,Mata,99,PT,1586642891,93,40.68,-7.46,54.0,1.01
395,Safranbolu,94,TR,1586642892,65,41.25,32.69,42.33,1.86
396,Ilo,67,PE,1586642894,75,-17.64,-71.34,73.4,7.31
397,Surgut,40,RU,1586642895,91,61.25,73.42,39.2,6.71
398,Cartagena,20,CO,1586642849,74,10.4,-75.51,87.8,14.99
399,Dunedin,100,NZ,1586642834,87,-45.87,170.5,55.99,9.15
400,Sharkan,100,RU,1586642898,56,57.3,53.87,44.01,1.99
401,Pithorāgarh,0,IN,1586642900,24,29.58,80.22,56.25,3.47
402,Mahon,4,ES,1586642901,82,39.89,4.27,55.4,8.05
403,Biryusinsk,0,RU,1586642902,91,55.96,97.82,28.65,2.77
404,Caucayá,53,CO,1586642903,69,-0.19,-74.78,85.28,0.83
405,Tiarei,100,PF,1586642905,70,-17.53,-149.33,86.0,5.82
406,Sault Ste. Marie,1,CA,1586642906,31,46.52,-84.33,50.0,16.11
407,Karambakkudi,0,IN,1586642907,79,10.47,79.13,77.92,5.14
408,Adrar,0,MR,1586642908,12,20.5,-10.07,85.59,10.56
409,San-Pédro,99,CI,1586642910,81,4.75,-6.64,81.23,4.99
410,Matara,19,LK,1586642911,88,5.95,80.54,76.69,5.44
411,Djenné,23,ML,1586642912,22,13.91,-4.55,90.79,6.71
412,Boca do Acre,100,BR,1586642913,81,-8.75,-67.4,81.99,2.15
413,Khatanga,32,RU,1586642915,93,71.97,102.5,-1.05,8.01
414,Tall Kayf,75,TR,1586642916,81,37.08,41.07,48.2,2.24
415,Terrace,5,CA,1586642917,21,54.52,-128.6,50.0,6.93
416,Omsk,34,RU,1586642741,64,55.0,73.4,35.6,2.24
417,North Platte,1,US,1586642751,28,41.12,-100.77,71.6,11.41
418,Kamaishi,10,JP,1586642921,66,39.27,141.88,42.12,5.84
419,Nara,75,JP,1586642922,76,34.69,135.8,52.0,5.82
420,Port Macquarie,0,AU,1586642669,50,-31.43,152.92,57.2,5.82
421,Ayamé,72,CI,1586642924,89,5.61,-3.16,77.18,3.0
422,Nanortalik,100,GL,1586642926,72,60.14,-45.24,37.58,28.25
423,Maningrida,7,AU,1586642927,91,-12.07,134.27,75.81,7.61
424,Bayan,26,CN,1586642928,66,46.08,127.4,37.42,3.24
425,Kiunga,96,PG,1586642930,97,-6.12,141.29,73.89,1.39
426,Denpasar,40,ID,1586642904,83,-8.65,115.22,80.6,4.7
427,Vila Velha,90,BR,1586642912,88,-20.33,-40.29,75.99,6.93
428,Lagoa,0,PT,1586642933,75,39.05,-27.98,61.66,10.47
429,Fairfield,1,US,1586642672,23,41.27,-73.32,55.99,10.29
430,Ōfunato,1,JP,1586642936,66,39.07,141.72,42.08,4.32
431,Teseney,9,ER,1586642937,35,15.11,36.66,73.51,7.47
432,San Matías,1,BO,1586642938,57,-16.37,-58.4,84.83,1.92
433,Santa Isabel,40,BR,1586642881,82,-23.32,-46.22,72.0,5.82
434,Markova,1,UA,1586642941,63,48.68,24.41,36.86,0.65
435,Moche,88,PE,1586642942,65,-8.17,-79.01,79.12,10.04
436,Tezu,0,IN,1586642943,32,27.92,96.17,69.82,3.58
437,Jizan,9,SA,1586642944,74,17.33,42.67,84.2,8.05
438,Zapolyarnyy,6,RU,1586642946,73,69.42,30.81,21.2,13.87
439,Morros,87,BR,1586642947,68,-9.45,-46.3,78.84,3.42
440,Popondetta,100,PG,1586642948,81,-8.75,148.25,77.4,3.29
441,Alekseyevsk,100,RU,1586642949,94,57.84,108.35,29.19,1.86
442,Progreso,5,MX,1586642951,17,21.28,-89.67,107.6,11.41
443,Halapitan,11,PH,1586642952,78,7.92,125.33,67.41,1.9
444,Mashhad,75,IR,1586642953,93,36.3,59.61,55.4,9.17
445,Laguna,40,US,1586642905,68,38.42,-121.42,70.0,8.05
446,Mīnāb,100,IR,1586642956,83,27.15,57.08,78.8,9.17
447,Chengde,0,CN,1586642957,41,40.97,117.94,43.9,5.39
448,High Level,75,CA,1586642837,39,58.52,-117.14,30.2,16.11
449,Humaitá,98,BR,1586642960,87,-7.51,-63.02,81.5,1.52
450,Erenhot,0,CN,1586642961,37,43.65,111.98,39.47,6.73
451,Padang,98,ID,1586642962,76,-0.95,100.35,78.58,5.01
452,Forsytheganj,0,BY,1586642963,73,52.63,29.73,35.01,5.23
453,Chapais,90,CA,1586642965,63,49.78,-74.85,28.4,9.17
454,Tombouctou,0,ML,1586642966,10,20.0,-3.0,90.28,7.74
455,Gushikawa,90,JP,1586642967,83,26.35,127.87,69.8,14.99
456,Yining,0,CN,1586642968,82,29.04,114.56,42.39,1.77
457,Belle Fourche,90,US,1586642969,100,44.67,-103.85,30.2,14.99
458,Caravelas,62,BR,1586642971,85,-17.71,-39.25,79.21,11.05
459,Reitz,0,ZA,1586642972,36,-27.8,28.43,57.07,2.53
460,Calama,0,CL,1586642973,18,-22.47,-68.93,73.4,17.22
461,Merrill,1,US,1586642975,30,45.18,-89.68,59.0,10.29
462,Muskegon,75,US,1586642976,26,43.3,-86.13,59.0,10.29
463,Redcliffe,3,AU,1586642977,46,-27.23,153.1,71.01,3.36
464,Neral,40,IN,1586642947,79,19.03,73.32,84.2,3.36
465,Russell,1,US,1586642979,25,32.35,-85.2,75.2,8.05
466,Isla Mujeres,20,MX,1586642981,62,21.23,-86.73,86.0,17.22
467,Savalou,96,BJ,1586642937,55,7.93,1.98,86.18,8.12
468,Marietta,20,US,1586642983,19,33.95,-84.55,73.99,4.7
469,Ilhéus,40,BR,1586642984,78,-14.79,-39.05,82.4,4.7
470,Troitskoye,1,RU,1586642986,86,52.98,84.68,32.49,5.12
471,Acajutla,96,SV,1586642987,60,13.59,-89.83,87.87,6.89
472,Rafaela,0,AR,1586642988,38,-31.25,-61.49,70.0,1.01
473,Fairbanks,1,US,1586642989,38,64.84,-147.72,41.0,4.05
474,Vardø,61,NO,1586642991,89,70.37,31.11,27.61,4.99
475,Talaya,100,RU,1586642992,89,61.38,152.75,17.55,1.32
476,Tuatapere,81,NZ,1586642993,65,-46.13,167.68,57.99,3.0
477,Deyang,3,CN,1586642994,50,31.13,104.38,54.7,2.91
478,Remanso,100,BR,1586642995,77,-9.62,-42.08,75.22,2.08
479,Luga,7,RU,1586642997,93,58.74,29.85,31.03,3.47
480,Evensk,100,RU,1586642998,89,61.95,159.23,8.92,4.0
481,Itamaracá,20,BR,1586642999,70,-7.75,-34.83,84.2,6.93
482,Węgorzewo,82,PL,1586643000,65,54.22,21.74,39.72,5.41
483,Zile,17,TR,1586643002,60,40.3,35.89,42.8,11.41
484,Duncan,90,US,1586643003,100,34.5,-97.96,66.2,17.22
485,Alice Town,34,BS,1586643004,86,25.72,-79.3,76.48,18.03
486,Batagay,99,RU,1586643005,94,67.63,134.63,27.18,6.78
487,Port Keats,100,AU,1586643006,78,-14.25,129.55,78.46,11.95
488,Nantucket,1,US,1586643008,49,41.28,-70.1,52.0,23.04
489,Rybnaya Sloboda,100,RU,1586643009,86,55.46,50.14,37.4,11.18
490,Fortuna,40,US,1586643010,81,40.6,-124.16,57.99,10.29
491,Emerald,0,AU,1586643011,45,-23.53,148.17,68.0,5.44
492,Bacolod City,18,PH,1586642927,75,10.67,122.95,77.07,3.27
493,Visnes,79,NO,1586643014,93,59.36,5.22,44.6,12.75
494,Great Yarmouth,76,GB,1586643015,54,52.61,1.73,57.99,1.12
495,Kahului,75,US,1586643016,65,20.89,-156.47,78.8,9.17
496,Yulara,100,AU,1586643017,28,-25.24,130.99,57.2,6.93
497,Paranaguá,75,BR,1586643019,100,-25.52,-48.51,59.0,9.17
498,Goderich,1,CA,1586643020,73,43.75,-81.72,54.0,1.01
499,Marsaxlokk,0,MT,1586643021,87,35.84,14.54,57.0,4.7
500,Bonthe,89,SL,1586643022,75,7.53,-12.51,82.65,8.08
501,Mareeba,46,AU,1586643023,94,-17.0,145.43,75.2,1.77
502,Daru,93,PG,1586643025,84,-9.08,143.21,79.61,9.06
503,Nagaoka,20,JP,1586643026,86,37.45,138.85,43.0,2.24
504,Horta,0,PT,1586643027,71,38.53,-28.63,62.6,7.9
505,Lüderitz,0,NA,1586643028,93,-26.65,15.16,57.2,1.12
506,Fukuechō,100,JP,1586643030,88,32.69,128.84,55.02,19.73
507,Gouyave,20,GD,1586643031,70,12.16,-61.73,84.2,17.22
508,Haines Junction,0,CA,1586643032,63,60.75,-137.51,33.39,1.68
509,Malbork,100,PL,1586643033,39,54.04,19.03,46.99,6.93
510,Buraidah,0,SA,1586643034,35,26.33,43.98,69.8,10.29
511,Atambua,91,ID,1586643036,80,-9.11,124.89,72.64,2.66
512,Novki,100,RU,1586643037,83,56.36,41.08,33.22,10.09
513,Matagami,75,CA,1586643038,63,49.75,-77.63,30.2,6.93
514,Sivaki,0,RU,1586643039,82,52.63,126.75,34.5,5.66
515,Maniitsoq,91,GL,1586643041,72,65.42,-52.9,38.53,4.74
516,Aitape,99,PG,1586642927,85,-3.14,142.35,79.11,4.41
517,Solnechnyy,43,RU,1586643043,78,50.72,136.63,32.99,2.57
518,Olafsvik,60,IS,1586643044,79,64.89,-23.71,37.24,28.39
519,Proddatūr,0,IN,1586643045,52,14.73,78.55,78.35,4.81
520,Orán,0,AR,1586643047,62,-23.13,-64.33,75.99,3.91
521,Santos Dumont,90,BR,1586643048,88,-21.46,-43.55,69.01,6.93
522,Anori,99,BR,1586643049,96,-3.77,-61.64,75.74,5.46
523,San Patricio,40,MX,1586643051,74,19.22,-104.7,86.0,23.04
524,Rome,20,US,1586643005,38,43.21,-75.46,46.4,19.46
525,Chumayel,5,MX,1586643054,39,20.43,-89.32,98.6,13.87
526,Shingū,100,JP,1586643055,63,33.73,135.98,50.92,6.67
527,Araouane,0,ML,1586643056,10,18.9,-3.53,88.83,5.86
528,Tiznit Province,99,MA,1586643057,70,29.58,-9.5,59.23,3.91
529,Salinópolis,93,BR,1586643059,83,-0.61,-47.36,82.08,11.32
530,Miquelon,43,PM,1586643061,93,47.1,-56.38,33.06,26.15
531,Cururupu,96,BR,1586643060,87,-1.83,-44.87,80.26,5.75
532,Trelew,0,AR,1586643004,27,-43.25,-65.31,63.46,14.85
533,Muros,40,ES,1586643066,93,42.78,-9.06,57.0,4.7
534,Mahébourg,40,MU,1586643051,83,-20.41,57.7,78.01,11.41
535,Najrān,40,SA,1586643068,30,17.49,44.13,82.4,2.24
536,Aksay,42,RU,1586643069,44,47.26,39.87,39.99,8.95
537,Vulcan,61,RO,1586643070,55,45.38,23.27,44.4,1.95
538,Sioux Lookout,75,CA,1586642965,59,50.1,-91.92,35.6,13.87
539,Kargasok,65,RU,1586643073,94,59.06,80.86,33.08,5.88
540,Khani,75,GE,1586643074,93,41.96,42.96,42.8,4.7
541,Sarny,0,UA,1586643075,69,51.34,26.6,36.81,4.32
542,Songjianghe,0,CN,1586643077,79,42.19,127.48,28.11,2.17
543,Sittwe,11,MM,1586643078,86,20.15,92.9,76.66,5.97
544,Souillac,40,MU,1586643079,83,-20.52,57.52,78.01,11.41
545,Oro Valley,90,US,1586643080,76,32.39,-110.97,54.0,11.41
546,Upata,100,VE,1586643081,25,8.01,-62.4,92.75,9.95
547,Palmer,40,US,1586643083,31,42.16,-72.33,51.01,21.92
548,Havøysund,65,NO,1586643084,86,71.0,24.66,28.4,8.05
549,Manokwari,65,ID,1586643085,74,-0.87,134.08,80.29,2.21
550,Aripuanã,40,BR,1586643086,80,-9.17,-60.63,83.1,0.96
551,Preeceville,100,CA,1586643088,88,51.95,-102.67,20.66,16.98
552,Arman',97,RU,1586643089,92,59.7,150.17,20.5,2.66
553,Andreapol',78,RU,1586643090,86,56.65,32.27,32.27,5.55
554,Kayerkan,75,RU,1586643091,80,69.35,87.76,35.6,31.32
555,Teguise,20,ES,1586643093,68,29.06,-13.56,66.2,12.75
556,Kirakira,95,SB,1586642966,77,-10.45,161.92,82.42,6.38
557,Montmagny,99,FR,1586643095,51,48.97,2.35,66.0,2.24
558,La Primavera,42,CO,1586643097,58,5.49,-70.41,88.47,8.05
559,Kaihua,98,CN,1586643098,54,23.37,104.28,55.62,6.6
560,Ust'-Ishim,90,RU,1586643099,91,57.69,71.17,38.57,3.8
561,Enumclaw,40,US,1586643091,54,47.2,-121.99,60.01,4.7
562,Plátanos,2,GR,1586643102,87,37.67,21.62,53.6,2.24
563,Atocha,0,BO,1586643103,7,-20.93,-66.23,57.0,16.51
564,Pueblo,1,US,1586643104,8,38.25,-104.61,77.0,4.7
565,Ilhabela,39,BR,1586643106,63,-23.78,-45.36,72.45,5.97
566,Antofagasta,20,CL,1586643023,68,-23.65,-70.4,68.0,12.75
567,Necochea,85,AR,1586643108,67,-38.55,-58.74,64.0,8.01
568,Urucará,98,BR,1586643109,86,-2.54,-57.76,81.0,1.9
569,Poyarkovo,0,RU,1586643111,78,49.6,128.68,38.44,5.93
570,Vikhorevka,2,RU,1586643112,92,56.12,101.16,23.0,6.71
571,Talcahuano,0,CL,1586643113,55,-36.72,-73.12,64.4,16.11
572,Kieta,92,PG,1586643114,77,-6.22,155.63,81.34,2.64
573,Poum,50,NC,1586643012,71,-20.23,164.02,79.09,11.65
574,Ambulu,75,ID,1586643117,79,-8.35,113.61,76.78,2.89
575,Burnie,24,AU,1586643118,64,-41.07,145.92,55.0,11.01
576,Moose Factory,75,CA,1586643119,51,51.26,-80.61,35.6,4.7
577,Henties Bay,5,NA,1586643121,70,-22.12,14.28,73.99,5.73
578,Qandala,19,SO,1586643122,63,11.47,49.87,84.31,8.86
579,Tignère,100,CM,1586643123,46,7.37,12.65,67.39,1.9
580,Sept-Îles,75,CA,1586643124,30,50.2,-66.38,42.8,17.22
581,Pinotepa Nacional,99,MX,1586643126,32,16.32,-98.02,92.61,12.37
582,Ekhabi,51,RU,1586643128,96,53.51,142.97,27.64,12.77
583,Quang Ngai,100,VN,1586643129,88,15.12,108.8,76.6,2.73
584,Chimbote,85,PE,1586643130,65,-9.09,-78.58,79.05,12.55
585,Havre-St-Pierre,90,CA,1586643131,48,50.23,-63.6,41.0,16.11
586,Ponta Delgada,20,PT,1586643133,76,37.73,-25.67,57.2,13.87
587,Weligama,16,LK,1586643134,87,5.97,80.42,76.93,4.68
588,Pilar,20,BR,1586642932,83,-9.6,-35.96,80.6,8.05
589,Aquiraz,20,BR,1586643137,74,-3.9,-38.39,84.2,8.05
590,Escanaba,1,US,1586643138,49,45.75,-87.06,57.99,19.46
591,Honiara,75,SB,1586643050,83,-9.43,159.95,80.6,3.36
592,Laas,5,IT,1586643140,70,46.62,10.7,60.8,4.7
593,Van,75,TR,1586643142,80,38.49,43.38,41.0,4.03
594,Alexandria,0,EG,1586642877,72,31.22,29.96,60.8,6.93
595,Gejiu,100,CN,1586643144,58,23.31,103.16,52.39,4.59
